t,x,u,z1_hat,z2_hat,z3_hat
1.44500,9.21450,-5.00000,9.19954,5.71832,-2.06558
1.45000,9.24285,-5.00000,9.22805,5.65827,-2.06684
1.45500,9.27090,-5.00000,9.25625,5.59824,-2.06794
1.46000,9.29865,-5.00000,9.28415,5.53822,-2.06888
1.46500,9.32610,-5.00000,9.31176,5.47821,-2.06968
1.47000,9.35325,-5.00000,9.33906,5.41822,-2.07034
1.47500,9.38010,-5.00000,9.36607,5.35823,-2.07088
1.48000,9.40665,-5.00000,9.39277,5.29826,-2.07131
1.48500,9.43290,-5.00000,9.41918,5.23829,-2.07163
1.49000,9.45885,-5.00000,9.44528,5.17834,-2.07185
1.49500,9.48450,-5.00000,9.47109,5.11839,-2.07198
1.50000,9.50985,-5.00000,9.49659,5.05844,-2.07203
1.50500,9.53490,-5.00000,9.52180,4.99851,-2.07199
1.51000,9.55965,-5.00000,9.54670,4.93858,-2.07188
1.51500,9.58410,-5.00000,9.57131,4.87866,-2.07171
1.52000,9.60825,-5.00000,9.59561,4.81874,-2.07147
1.52500,9.63210,-5.00000,9.61962,4.75883,-2.07117
1.53000,9.65565,-5.00000,9.64333,4.69892,-2.07082
1.53500,9.67890,-5.00000,9.66673,4.63902,-2.07042
1.54000,9.70185,-5.00000,9.68984,4.57912,-2.06998
1.54500,9.72450,-5.00000,9.71265,4.51922,-2.06949
1.55000,9.74685,-5.00000,9.73515,4.45933,-2.06896
1.55500,9.76890,-5.00000,9.75736,4.39944,-2.06840
1.56000,9.79065,-5.00000,9.77927,4.33955,-2.06780
1.56500,9.81210,-5.00000,9.80087,4.27967,-2.06717
1.57000,9.83325,-5.00000,9.82218,4.21979,-2.06651
1.57500,9.85410,-5.00000,9.84319,4.15991,-2.06582
1.58000,9.87465,-5.00000,9.86389,4.10003,-2.06512
1.58500,9.89490,-5.00000,9.88430,4.04016,-2.06438
1.59000,9.91485,-5.00000,9.90441,3.98029,-2.06363
1.59500,9.93450,-5.00000,9.92421,3.92042,-2.06286
1.60000,9.95385,-5.00000,9.94372,3.86055,-2.06207
1.60500,9.97290,-5.00000,9.96293,3.80068,-2.06126
1.61000,9.99165,-5.00000,9.98184,3.74082,-2.06044
1.61500,10.01010,-5.00000,10.00044,3.68095,-2.05960
1.62000,10.02825,-5.00000,10.01875,3.62109,-2.05875
1.62500,10.04610,-5.00000,10.03676,3.56122,-2.05789
1.63000,10.06365,-5.00000,10.05446,3.50136,-2.05702
1.63500,10.08090,-5.00000,10.07187,3.44150,-2.05614
1.64000,10.09785,-5.00000,10.08898,3.38164,-2.05524
1.64500,10.11450,-5.00000,10.10579,3.32178,-2.05434
1.65000,10.13085,-5.00000,10.12229,3.26192,-2.05344
1.65500,10.14690,-5.00000,10.13850,3.20207,-2.05252
1.66000,10.16265,-5.00000,10.15441,3.14221,-2.05160
1.66500,10.17810,-5.00000,10.17002,3.08235,-2.05067
1.67000,10.19325,-5.00000,10.18532,3.02250,-2.04974
1.67500,10.20810,-5.00000,10.20033,2.96264,-2.04880
1.68000,10.22265,-5.00000,10.21504,2.90279,-2.04785
1.68500,10.23690,-5.00000,10.22945,2.84293,-2.04690
1.69000,10.25085,-5.00000,10.24355,2.78308,-2.04595
1.69500,10.26450,-5.00000,10.25736,2.72322,-2.04500
1.70000,10.27785,-5.00000,10.27087,2.66337,-2.04404
1.70500,10.29090,-5.00000,10.28407,2.60352,-2.04307
1.71000,10.30365,-5.00000,10.29698,2.54366,-2.04211
1.71500,10.31610,-5.00000,10.30959,2.48381,-2.04114
1.72000,10.32825,-5.00000,10.32190,2.42396,-2.04017
1.72500,10.34010,-5.00000,10.33390,2.36410,-2.03919
1.73000,10.35165,-5.00000,10.34561,2.30425,-2.03822
1.73500,10.36290,-5.00000,10.35702,2.24440,-2.03724
1.74000,10.37385,-5.00000,10.36813,2.18455,-2.03626
